id,field,path,path_rad,path_model,beam_pa,beam_maj,beam_min,center_x,center_y,Distance,Rmax_frank,B8_Flux,isbinary,rms_data,rms_model_profile,Class,Features,R_zoom,rms_model_percentage,Stage,Group
39,odisea_c4_099,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_099_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_099_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_099_frank_model.fits,83.81773,0.06454,0.0523,16:27:37.2366,-24:42:38.580,139.4,0.5,15.08,0,0.00031,3448400551.13571,I_F,Smooth,0.2,0.015656251623402,0,0+I_F
40,odisea_c4_100,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_100_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_100_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_100_frank_model.fits,89.74778,0.19491,0.14932,16:27:38.311,-24:36:59.109,140.2,0.5,123.3,0,0.00034,438645295.856536,II,Smooth,0.4,0.00275683590815,0,0+II
41,odisea_c4_101,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_101_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_101_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_101_frank_model.fits,-85.32848,0.06721,0.05465,16:27:38.320,-23:57:33.110,140.52,0.5,16.0,0,0.00041,4191277895.74665,II,Smooth,0.25,0.153826683885746,0,0+II
42,odisea_c4_102,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_102_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_102_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_102_frank_model.fits,-88.7934,0.19246,0.14516,16:27:38.930,-24:40:21.159,139.4,1.5,145.7,0,0.00029,389759957.126706,I_F,Smooth,0.5,0.004695269474159,0,0+I_F
43,odisea_c4_103,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_103_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_103_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_103_frank_model.fits,-88.17625,0.20036,0.14967,16:27:39.000,-23:58:19.249,139.92,0.5,113.0,0,0.00028,350589505.305967,II,Smooth,0.5,0.003802900765878,0,0+II
44,odisea_c4_104,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_104_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_104_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_104_frank_model.fits,-88.69337,0.19712,0.14918,16:27:39.419,-24:39:16.039,137.02,0.5,217.2,0,0.00029,370291179.027181,II,Inflection,0.5,0.001755094082633,1,1+II
45,odisea_c4_105a,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_105A_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_105A_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_105A_frank_model.fits,84.29037,0.06513,0.05205,16:27:39.813,-24:43:15.680,139.4,0.5,247.2,1,0.00034,3765856499.86398,I_F,Inflection,0.3,0.010623039159943,1,1+I_F
46,odisea_c4_105b,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_105B_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_105B_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_105B_frank_model.fits,84.24917,0.0658,0.05242,16:27:39.841,-24:43:14.034,139.4,0.5,21.1,1,0.00087,9470720160.43289,I_F,Smooth,0.2,0.199549896217182,0,0+I_F
47,odisea_c4_106a,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_106A_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_106A_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_106A_frank_model.fits,-84.02321,0.06888,0.05446,16:27:40.2715,-24:22:04.760,130.46,0.3,17.0,1,0.00032,3203065832.55815,II,Smooth,0.15,0.022549946579344,0,0+II
48,odisea_c4_106b,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_106B_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_106B_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_106B_frank_model.fits,-84.22284,0.0694,0.05424,16:27:40.270,-24:22:04.060,130.46,0.3,3.94,1,0.00034,3391457879.37142,II,Smooth,0.1,0.177118642267785,0,0+II
49,odisea_c4_107,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_107_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_107_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_107_frank_model.fits,84.61871,0.06445,0.05157,16:27:41.6026,-24:46:45.260,139.4,0.5,34.8,0,0.00039,4405865304.85913,I_F,Smooth,0.3,0.083886746352594,0,0+I_F
50,odisea_c4_114,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_114_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_114_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_114_frank_model.fits,-88.76274,0.19909,0.14918,16:28:16.500,-24:36:58.599,137.08,1.5,378.0,0,0.00029,366627139.53407,II,"Inflection, Gap",1.0,0.003633164773065,3,3+II
51,odisea_c4_116,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_116_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_116_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_116_frank_model.fits,-86.11102,0.06734,0.05498,16:28:23.334,-24:22:41.213,147.99,0.5,84.8,0,0.00029,2941079826.67986,II,Cavity,0.5,0.072231716791065,4,4+II
52,odisea_c4_117a,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_117A_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_117A_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_117A_frank_model.fits,-86.56355,0.06776,0.05379,16:28:45.260,-24:28:19.572,81.99,0.5,224.0,1,0.00028,2884494742.19074,II,"Gap, Cavity",0.5,0.038358256232208,4,4+II
53,odisea_c4_118,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_118_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_118_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_118_frank_model.fits,77.03749,0.06719,0.05406,16:28:54.066,-24:47:44.870,138.13,0.5,37.8,0,0.00041,4238281868.00808,II,Smooth,0.5,0.079990984907181,0,0+II
54,odisea_c4_12,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_12_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_12_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_12_frank_model.fits,84.69636,0.18175,0.15087,16:23:09.213,-24:17:05.535,160.2,0.5,163.3,0,0.0003,410800162.558131,II,Cavity,0.5,0.00815881586846,5,5+II
55,odisea_c4_121,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_121_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_121_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_121_frank_model.fits,77.31838,0.06672,0.05344,16:30:23.394,-24:54:16.700,145.42,0.5,19.8,0,0.00038,4001729892.81587,II,Smooth,0.3,0.148308652487029,0,0+II
56,odisea_c4_125a,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_125A_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_125A_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_125A_frank_model.fits,76.8655,0.06705,0.05362,16:31:30.871,-24:24:40.450,130.61,0.5,46.3,0,0.0004,4177544275.37561,II,Smooth,0.3,0.041104392427096,0,0+II
57,odisea_c4_125b,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_125B_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_125B_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_125B_frank_model.fits,52.81,0.17,0.06,16:31:31.026,-24:24:37.660,130.61,0.5,8.6,0,0.00102,3754798726.81504,II,Smooth,0.2,0.081660452392701,0,0+II
58,odisea_c4_126,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_126_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_126_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_126_frank_model.fits,-88.484,0.19773,0.149,16:31:31.241,-24:26:28.499,139.4,1.5,197.6,0,0.0003,382339424.29274,I_F,Smooth,1.5,0.012875617481942,0,0+I_F
59,odisea_c4_127,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_127_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_127_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_127_frank_model.fits,-88.96732,0.19343,0.14529,16:31:33.448,-24:27:37.640,145.91,1.5,340.0,0,0.00026,347376515.367851,II,Cavity,0.8,0.012253405331502,5,5+II
60,odisea_c4_130,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_130_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_130_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_130_frank_model.fits,-88.448,0.19476,0.1446,16:31:35.650,-24:01:30.039,139.4,1.5,1283.0,0,0.00059,786630198.340674,I_F,Inflection,0.8,0.001637525148645,1,1+I_F
61,odisea_c4_131,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_131_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_131_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_131_frank_model.fits,76.90565,0.06684,0.05372,16:31:36.779,-24:04:20.530,139.4,0.5,37.0,0,0.00038,3973725042.89401,I_F,Smooth,0.5,0.054800216425653,0,0+I_F
62,odisea_c4_132,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_132_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_132_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_132_frank_model.fits,77.11651,0.06675,0.05365,16:31:43.751,-24:55:25.070,139.4,0.5,25.4,0,0.0003,3145479943.29878,I_F,Smooth,0.2,0.014045962008046,0,0+I_F
63,odisea_c4_133,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_133_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_133_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_133_frank_model.fits,77.20901,0.06716,0.0536,16:31:44.577,-24:02:13.690,132.69,0.5,24.09,0,0.0003,3129193644.39485,II,Smooth,0.2,0.018409862161496,0,0+II
64,odisea_c4_134a,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_134A_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_134A_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_134A_frank_model.fits,77.60888,0.06663,0.05354,16:31:52.108,-24:56:16.210,166.46,0.5,121.2,1,0.0003,3157619072.0114,I_F,Inflection,0.2,0.007016280625589,1,1+I_F
65,odisea_c4_134b,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_134B_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_134B_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_134B_frank_model.fits,78.62459,0.06733,0.05315,16:31:51.915,-24:56:17.481,166.46,0.15,6.7,1,0.00066,6924983040.6587,I_F,Smooth,0.1,0.110465213536273,0,0+I_F
66,odisea_c4_139,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_139_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_139_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_139_frank_model.fits,77.50621,0.06655,0.05337,16:32:21.047,-24:30:36.480,155.13,0.5,41.9,0,0.00029,3065768779.38968,I_F,Smooth,0.2,0.007800476512694,0,0+I_F
67,odisea_c4_141,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_141_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_141_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_141_frank_model.fits,-89.71629,0.20085,0.14949,16:33:55.603,-24:42:05.482,141.35,1.5,354.0,0,0.00028,350155308.901052,II,Cavity,0.8,0.006662890356801,5,5+II
68,odisea_c4_143,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_143_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_143_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_143_frank_model.fits,-88.25209,0.19782,0.14898,16:39:45.433,-24:02:04.316,155.61,2.02245,695.0,0,0.00026,331254542.472377,II,"Inflection, Gap, Cavity",2.02245,0.008119060715695,4,4+II
69,odisea_c4_144,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_144_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_144_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_144_frank_model.fits,79.50617,0.06387,0.05078,16:39:52.901,-24:19:31.708,139.4,0.5,26.2,0,0.00019,2199635145.60321,I_F,Smooth,0.5,0.109469004632463,0,0+I_F
70,odisea_c4_22ab,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_22AB_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_22AB_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_22AB_frank_model.fits,86.41068,0.06408,0.05159,16:25:38.120,-24:22:36.793,143.7,1.0,339.0,1,0.00028,3180216322.89272,II,"Gap, Cavity",1.0,0.152454543963295,5,5+II
71,odisea_c4_26,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_26_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_26_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_26_frank_model.fits,84.05271,0.18163,0.1512,16:25:46.630,-24:23:36.609,139.4,1.5,101.2,0,0.00027,369156952.400784,I_F,Smooth,1.5,0.017772689072636,0,0+I_F
72,odisea_c4_27,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_27_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_27_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_27_frank_model.fits,89.04021,0.18725,0.15127,16:25:56.154,-24:20:48.779,134.6,0.5,233.9,0,0.0003,397679572.602879,II,Gap,0.5,0.002899087450123,2,2+II
73,odisea_c4_3,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_3_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_3_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_3_frank_model.fits,84.24705,0.1811,0.15158,16:21:45.119,-23:42:32.259,139.4,1.5,132.1,0,0.00036,492412205.881379,I_F,Inflection,1.0,0.01111198001037,1,1+I_F
74,odisea_c4_30,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_30_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_30_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_30_frank_model.fits,85.45811,0.18284,0.15081,16:26:10.324,-24:20:55.359,139.4,1.5,604.0,0,0.00037,503833491.852219,II,Gap,0.8,0.002474890793025,2,2+II
75,odisea_c4_33,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_33_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_33_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_33_frank_model.fits,85.96331,0.1826,0.15127,16:26:17.228,-24:23:45.859,139.4,1.5,231.2,0,0.00029,394213125.068782,I_F,Inflection,0.5,0.002769267801376,1,1+I_F
76,odisea_c4_34,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_34_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_34_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_34_frank_model.fits,84.36926,0.18317,0.15157,16:26:18.862,-24:28:20.259,138.42,1.5,326.6,0,0.00034,459830721.110424,II,Inflection,0.8,0.003549343685819,1,1+II
77,odisea_c4_35,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_35_all_p0_bigmask.fits,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/frank_profiles/ODISEA_C4_35_frank_profile_fit.txt,/home/pnogueira/chewiepoint/bhowmik_2025/bhowmik2025_et_al_plots/src/bhowmik2025plots/input_files/fits_files/ODISEA_C4_35_frank_model.fits,84.01796,0.18407,0.1512,16:26:18.981,-24:24:14.779,139.4,0.5,96.2,0,0.00025,337280992.459362,I_F,Smooth,0.5,0.003647381589348,0,0+I_F
